Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Brandon Miller,CHA,CLE,CHA vs. CLE,FGA,20.5,2026-02-21
LaMelo Ball,CHA,CLE,CHA vs. CLE,FGA,17.5,2026-02-21
James Harden,CLE,CHA,CLE vs. CHA,FGA,14.5,2026-02-21
Brice Sensabaugh,UTA,MEM,UTA vs. MEM,FGA,15.5,2026-02-21
Jarace Walker,IND,WAS,IND vs. WAS,FGA,14.5,2026-02-21
Norman Powell,MIA,ATL,MIA vs. ATL,FGA,15.5,2026-02-21
Bam Adebayo,MIA,ATL,MIA vs. ATL,FGA,14.5,2026-02-21
Anthony Edwards,MIN,DAL,MIN vs. DAL,FGA,20.5,2026-02-21
Brandon Williams,DAL,MIN,DAL vs. MIN,FGA,14.5,2026-02-21
Kevin Porter Jr.,MIL,NOP,MIL vs. NOP,FGA,15.5,2026-02-21
Ryan Rollins,MIL,NOP,MIL vs. NOP,FGA,16.5,2026-02-21
Kawhi Leonard,LAC,LAL,LAC vs. LAL,FGA,21.5,2026-02-21
LeBron James,LAL,LAC,LAL vs. LAC,FGA,14.5,2026-02-21
Jamal Murray,DEN,POR,DEN vs. POR,FGA,18.5,2026-02-21
Donovan Mitchell,CLE,CHA,CLE vs. CHA,FGA,19.5,2026-02-21
Kon Knueppel,CHA,CLE,CHA vs. CLE,FGA,14.5,2026-02-21
Ace Bailey,UTA,MEM,UTA vs. MEM,FGA,16.5,2026-02-21
GG Jackson,MEM,UTA,MEM vs. UTA,FGA,14.5,2026-02-21
Jalen Johnson,ATL,MIA,ATL vs. MIA,FGA,18.5,2026-02-21
CJ McCollum,ATL,MIA,ATL vs. MIA,FGA,15.5,2026-02-21
Nickeil Alexander-Walker,ATL,MIA,ATL vs. MIA,FGA,14.5,2026-02-21
Julius Randle,MIN,DAL,MIN vs. DAL,FGA,14.5,2026-02-21
Michael Porter Jr.,BKN,OKC,BKN vs. OKC,FGA,17.5,2026-02-21
Saddiq Bey,NOP,MIL,NOP vs. MIL,FGA,15.5,2026-02-21
Zion Williamson,NOP,MIL,NOP vs. MIL,FGA,14.5,2026-02-21
Luka Doncic,LAL,LAC,LAL vs. LAC,FGA,20.5,2026-02-21
Nikola Jokic,DEN,POR,DEN vs. POR,FGA,20.5,2026-02-21
Deni Avdija,POR,DEN,POR vs. DEN,FGA,15.5,2026-02-21
